sku;nome;descricao;preco_unitario
dd6d6b28-18c9-4c12-ba3f-6e1a8e91c44a;Caneta Esferográfica Azul;Caneta esferográfica azul de ponta fina;1.99
23a0f0a0-8b95-4d92-8193-6e0bf5cb2061;Bloco de Notas Pequeno;Bloco de notas com capa dura, tamanho A6;3.49
39d9f3cc-b5f7-48f7-9c7d-2049c0701c2c;Lápis HB;Lápis padrão HB para uso diário;0.99
a001db48-332b-4f13-b8ad-d16fcb371b89;Borracha de Apagar;Borracha macia e eficiente para apagar;1.49
c75b01d7-2c9a-4b59-9b84-17293516f534;Caderno Pautado Grande;Caderno com capa flexível e páginas pautadas, tamanho A4;9.99
8f7cf179-6a0b-4d3f-bf56-d0514c9cb4cf;Marcadores Coloridos;Conjunto de marcadores coloridos para realçar texto;5.99
56b2ed04-4f3a-47f1-b5c1-2b654bf1ecdb;Grampeador Compacto;Grampeador metálico de tamanho compacto;7.49
10a59bf4-06b8-4b76-9b29-149b86b07a7c;Pasta com Elástico;Pasta de plástico resistente com elástico;4.29
b9e4d9a7-6259-480b-b951-58d3e83a5825;Tesoura de Ponta Fina;Tesoura com ponta fina para cortes precisos;6.99
8e92474d-cb2a-4d3a-8722-cc6b3b32d2f5;Fita Adesiva Transparente;Rolo de fita adesiva transparente, 3cm x 50m;2.79
e99721e0-e46c-40b2-ae57-70b4bc144977;Lápis de Cor;Conjunto de lápis de cor com 24 cores;12.99
72d42efb-72e4-4d7e-90e4-6b87a1d5c61d;Apontador Duplo;Apontador com depósito para lápis comum e jumbo;3.99
d32a8b09-4a6d-487a-84d5-289a81b1a3e8;Bolsa Plástica para Documentos;Conjunto de 5 bolsas plásticas transparentes;1.89
fa44197e-45c8-47ed-8b87-69b8395e8f03;Clips Metálicos;Conjunto de 50 clips metálicos;1.29
b1dfcf69-9ad3-4e29-a862-92e88942c887;Régua de 30cm;Régua plástica transparente de 30cm;1.49
76868237-aa4a-4772-bab2-efeb057afac6;Agenda Semanal;Agenda semanal com capa de couro sintético;15.99
c0f7ef12-b2df-4d82-af06-d17f1ed15ec8;Caneta Marca Texto Amarela;Caneta marca texto amarela fluorescente;2.49
6f1a1c29-7ee2-4db7-91e6-3d35c2db2290;Papel Sulfite A4;Pacote com 500 folhas de papel sulfite A4;19.99
ee4c6a7f-60de-421e-8910-527cc05a3a8b;Estojo Escolar;Estojo escolar com zíper, grande;8.99
942667bf-3710-4e80-bcc3-774031ebe3e7;Caneta Gel Preta;Caneta gel preta de secagem rápida;2.79
7e62bc3e-15c5-4e12-8ef1-d7362086d60d;Borracha em Forma de Animal;Borracha macia com formato de animais sortidos;2.49
8a5048bf-6eb3-4b41-a16c-aa3e6c4426af;Caneta Gel Colorida;Conjunto de canetas gel em diversas cores;3.99
e5ea3b58-1ef8-4f79-9a7a-0f4e4684beef;Agenda Diária de Bolso;Agenda compacta para planejamento diário;7.99
ef2fcf55-574b-40e6-b418-c6b29568b13e;Folhas Adesivas Coloridas;Bloco de folhas adesivas em diversas cores;1.99
a7d49f8e-02d0-4965-b29f-c50d4a1b6063;Lápis de Cor Metálico;Conjunto de lápis de cor com efeito metálico;6.49
b618453e-8d23-478e-9b02-0d3b99d3329c;Régua Flexível;Régua de plástico flexível para desenhos curvos;4.29
fbae48e8-77b3-42b9-af20-c59d7f684762;Bloco de Notas Autoadesivo;Bloco de notas com folhas autoadesivas;2.79
5e8eeaf4-0071-45d7-bb3b-3635e9ebbe71;Caneta Esferográfica Preta;Caneta esferográfica preta de ponta média;1.49
f5b6888d-ced4-482a-9485-45a0d13a3e9b;Tesoura Escolar com Estampa;Tesoura escolar com estampa divertida;3.79
870e836b-5b8e-4c64-9ee2-c60e865e04d1;Pasta com Aba Elástica;Pasta de papelão com aba elástica;5.99
